,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
0,EK,2370,EMIRATES,2024-02-12T10:10:00,2024-02-12T11:03:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
1,FZ,1550,FLYDUBAI,2024-02-12T10:10:00,2024-02-12T11:03:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
3,A4,5026,AZIMUTH AIRLINES,2024-02-12T11:05:00,2024-02-12T11:31:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,39-41,B,DEPARTED,המריאה
4,IZ,413,ARKIA  ISRAELI  AIRLINES,2024-02-12T11:10:00,2024-02-12T11:34:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,60-64,C,DEPARTED,המריאה
9,LY,613,EL AL ISRAEL AIRLINES,2024-02-12T11:45:00,2024-02-12T12:08:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
10,AA,9261,AMERICAN AIRLINES,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
11,AM,7863,AERO MEXICO,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
12,LY,315,EL AL ISRAEL AIRLINES,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
13,SK,3181,SAS,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
15,LY,973,EL AL ISRAEL AIRLINES,2024-02-12T11:50:00,2024-02-12T12:16:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,DEPARTED,המריאה
16,6H,047,ISRAIR AIRLINES,2024-02-12T11:45:00,2024-02-12T12:19:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G6,G,DEPARTED,המריאה
18,HY,302,UZBEKISTAN AIR,2024-02-12T12:35:00,2024-02-12T12:50:00,D,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,70-74,C,DEPARTED,המריאה
23,FR,1843,RYANAIR,2024-02-12T12:10:00,2024-02-12T13:01:00,D,FKB,BADEN BADEN,באדן באדן,BADEN BADEN,גרמניה,GERMANY,3,56-59,C,DEPARTED,המריאה
24,BZ,112,BLUE BIRD AIRWAYS,2024-02-12T12:40:00,2024-02-12T13:02:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,36-38,B,DEPARTED,המריאה
25,EK,2451,EMIRATES,2024-02-12T11:35:00,2024-02-12T13:12:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
26,FZ,1082,FLYDUBAI,2024-02-12T11:35:00,2024-02-12T13:12:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
30,LY,011,EL AL ISRAEL AIRLINES,2024-02-12T13:00:00,2024-02-12T13:23:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
31,A3,927,AEGEAN  AIRLINES,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
32,EK,4978,EMIRATES,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
33,FB,1514,BULGARIA  AIR,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
34,JU,7621,AIR SERBIA,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
37,IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-12T13:20:00,2024-02-12T13:49:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
47,LY,375,EL AL ISRAEL AIRLINES,2024-02-12T13:40:00,2024-02-12T14:09:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
48,TP,8920,AIR PORTUGAL,2024-02-12T13:40:00,2024-02-12T14:09:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
50,EY,594,ETIHAD AIRWAYS,2024-02-12T13:00:00,2024-02-12T14:16:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,42-48,B,DEPARTED,המריאה
51,LY,9601,EL AL ISRAEL AIRLINES,2024-02-12T13:00:00,2024-02-12T14:16:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,42-48,B,DEPARTED,המריאה
52,EK,2364,EMIRATES,2024-02-12T12:55:00,2024-02-12T14:29:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
53,FZ,1212,FLYDUBAI,2024-02-12T12:55:00,2024-02-12T14:29:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
55,BZ,702,BLUE BIRD AIRWAYS,2024-02-12T14:30:00,2024-02-12T14:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-36,B,DEPARTED,המריאה
57,LY,5107,EL AL ISRAEL AIRLINES,2024-02-12T14:35:00,2024-02-12T14:49:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
62,LY,5101,EL AL ISRAEL AIRLINES,2024-02-12T14:30:00,2024-02-12T14:54:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
64,6H,583,ISRAIR AIRLINES,2024-02-12T15:00:00,2024-02-12T15:10:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,69-72,C,DEPARTED,המריאה
73,LY,387,EL AL ISRAEL AIRLINES,2024-02-12T15:45:00,2024-02-12T15:57:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
74,SK,3183,SAS,2024-02-12T15:45:00,2024-02-12T15:57:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
75,6H,843,ISRAIR AIRLINES,2024-02-12T15:40:00,2024-02-12T16:03:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,66-69,C,DEPARTED,המריאה
78,WZ,4312,RED WINGS AIRLINES,2024-02-12T14:15:00,2024-02-12T16:09:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,63-65,C,DEPARTED,המריאה
82,AM,7851,AERO MEXICO,2024-02-12T16:10:00,2024-02-12T16:29:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
83,LY,339,EL AL ISRAEL AIRLINES,2024-02-12T16:10:00,2024-02-12T16:29:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
84,SK,3151,SAS,2024-02-12T16:10:00,2024-02-12T16:29:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
85,EK,2346,EMIRATES,2024-02-12T14:20:00,2024-02-12T16:33:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
86,FZ,1126,FLYDUBAI,2024-02-12T14:20:00,2024-02-12T16:33:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
87,U8,109,TUS AIRWAYS,2024-02-12T16:20:00,2024-02-12T16:35:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,36-39,B,DEPARTED,המריאה
91,FR,5390,RYANAIR,2024-02-12T13:35:00,2024-02-12T16:42:00,D,FMM,MEMMINGEN,ממינגן,MEMMINGEN,גרמניה,GERMANY,3,60-62,C,DEPARTED,המריאה
95,LO,154,LOT POLISH AIRLINES,2024-02-12T16:05:00,2024-02-12T16:48:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,56-59,C,DEPARTED,המריאה
96,LY,9253,EL AL ISRAEL AIRLINES,2024-02-12T16:05:00,2024-02-12T16:48:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,56-59,C,DEPARTED,המריאה
99,AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-02-12T16:15:00,2024-02-12T16:52:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
101,LY,383,EL AL ISRAEL AIRLINES,2024-02-12T16:15:00,2024-02-12T16:52:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
102,TP,8900,AIR PORTUGAL,2024-02-12T16:15:00,2024-02-12T16:52:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
109,IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-12T16:30:00,2024-02-12T17:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
110,AM,7853,AERO MEXICO,2024-02-12T16:50:00,2024-02-12T17:04:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
111,LY,325,EL AL ISRAEL AIRLINES,2024-02-12T16:50:00,2024-02-12T17:04:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
113,LY,363,EL AL ISRAEL AIRLINES,2024-02-12T16:15:00,2024-02-12T17:23:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,DEPARTED,המריאה
114,AM,7877,AERO MEXICO,2024-02-12T17:15:00,2024-02-12T17:27:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
115,LY,317,EL AL ISRAEL AIRLINES,2024-02-12T17:15:00,2024-02-12T17:27:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
116,LY,543,EL AL ISRAEL AIRLINES,2024-02-12T17:15:00,2024-02-12T17:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
117,LY,083,EL AL ISRAEL AIRLINES,2024-02-12T17:25:00,2024-02-12T17:35:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
118,QF,5018,QANTAS AIRWAYS,2024-02-12T17:25:00,2024-02-12T17:35:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
119,TG,4586,THAI AIRWAYS,2024-02-12T17:25:00,2024-02-12T17:35:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
129,LY,2523,EL AL ISRAEL AIRLINES,2024-02-12T17:45:00,2024-02-12T18:01:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,DEPARTED,המריאה
130,LY,571,EL AL ISRAEL AIRLINES,2024-02-12T17:50:00,2024-02-12T18:03:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
131,LY,5109,EL AL ISRAEL AIRLINES,2024-02-12T17:30:00,2024-02-12T18:06:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
132,LH,681,LUFTHANSA,2024-02-12T17:10:00,2024-02-12T18:18:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
133,SN,7172,BRUSSELS AIRLINES,2024-02-12T17:10:00,2024-02-12T18:18:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
134,LX,253,SWISS INT`L  AIRLINES,2024-02-12T17:10:00,2024-02-12T18:20:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,DEPARTED,המריאה
136,6H,045,ISRAIR AIRLINES,2024-02-12T17:00:00,2024-02-12T18:48:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G6,G,DEPARTED,המריאה
138,6H,561,ISRAIR AIRLINES,2024-02-12T18:50:00,2024-02-12T19:11:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
143,IZ,827,ARKIA  ISRAELI  AIRLINES,2024-02-12T19:40:00,2024-02-12T19:58:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
144,LY,5133,EL AL ISRAEL AIRLINES,2024-02-12T20:00:00,2024-02-12T20:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,DEPARTED,המריאה
146,LY,087,EL AL ISRAEL AIRLINES,2024-02-12T20:35:00,2024-02-12T20:45:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
148,LY,081,EL AL ISRAEL AIRLINES,2024-02-12T20:05:00,2024-02-12T20:58:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
149,QF,5020,QANTAS AIRWAYS,2024-02-12T20:05:00,2024-02-12T20:58:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
150,TG,4584,THAI AIRWAYS,2024-02-12T20:05:00,2024-02-12T20:58:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
151,VN,3298,VIETNAM AIRLINES,2024-02-12T20:05:00,2024-02-12T20:58:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
175,IZ,639,ARKIA  ISRAELI  AIRLINES,2024-02-13T00:30:00,2024-02-13T00:52:00,D,SEZ,MAHE SEYCHELLES INTL,מאהה,MAHE SEYCHELLES,איי סיישל,SEYCHELLES,3,63-68,C,DEPARTED,המריאה
182,AM,7869,AERO MEXICO,2024-02-13T00:45:00,2024-02-13T01:10:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
183,AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-02-13T00:45:00,2024-02-13T01:10:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
184,B6,6451,JETBLUE AIRWAYS CORPORATION,2024-02-13T00:45:00,2024-02-13T01:10:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
185,DL,7424,DELTA AIRLINES,2024-02-13T00:45:00,2024-02-13T01:10:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
186,LY,001,EL AL ISRAEL AIRLINES,2024-02-13T00:45:00,2024-02-13T01:10:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
187,B6,6465,JETBLUE AIRWAYS CORPORATION,2024-02-13T01:05:00,2024-02-13T01:25:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
188,DL,7435,DELTA AIRLINES,2024-02-13T01:05:00,2024-02-13T01:25:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
189,LY,015,EL AL ISRAEL AIRLINES,2024-02-13T01:05:00,2024-02-13T01:25:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
190,AM,7875,AERO MEXICO,2024-02-13T00:45:00,2024-02-13T01:28:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
191,B6,6461,JETBLUE AIRWAYS CORPORATION,2024-02-13T00:45:00,2024-02-13T01:28:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
192,DL,7428,DELTA AIRLINES,2024-02-13T00:45:00,2024-02-13T01:28:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
193,LY,005,EL AL ISRAEL AIRLINES,2024-02-13T00:45:00,2024-02-13T01:28:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
194,AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-02-13T01:00:00,2024-02-13T01:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
195,B6,6467,JETBLUE AIRWAYS CORPORATION,2024-02-13T01:00:00,2024-02-13T01:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
196,DL,7437,DELTA AIRLINES,2024-02-13T01:00:00,2024-02-13T01:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
197,LY,017,EL AL ISRAEL AIRLINES,2024-02-13T01:00:00,2024-02-13T01:34:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
198,B6,6483,JETBLUE AIRWAYS CORPORATION,2024-02-13T00:50:00,2024-02-13T01:40:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
199,DL,7443,DELTA AIRLINES,2024-02-13T00:50:00,2024-02-13T01:40:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
200,LY,027,EL AL ISRAEL AIRLINES,2024-02-13T00:50:00,2024-02-13T01:40:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
201,ET,405,ETHIOPIAN AIRLINES,2024-02-13T02:05:00,2024-02-13T02:18:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
202,LY,8807,EL AL ISRAEL AIRLINES,2024-02-13T02:05:00,2024-02-13T02:18:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
213,NH,5620,ALL NIPPON AIRWAYS,2024-02-13T03:50:00,2024-02-13T04:34:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,24-33,A,DEPARTED,המריאה
214,OS,860,AUSTRIAN AIRLINES,2024-02-13T03:50:00,2024-02-13T04:34:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,24-33,A,DEPARTED,המריאה
219,AA,9262,AMERICAN AIRLINES,2024-02-13T05:55:00,2024-02-13T05:59:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
220,AM,7867,AERO MEXICO,2024-02-13T05:55:00,2024-02-13T05:59:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
222,LY,319,EL AL ISRAEL AIRLINES,2024-02-13T05:55:00,2024-02-13T05:59:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
223,SK,3161,SAS,2024-02-13T05:55:00,2024-02-13T05:59:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
227,AM,7864,AERO MEXICO,2024-02-13T06:05:00,2024-02-13T06:16:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
228,LY,337,EL AL ISRAEL AIRLINES,2024-02-13T06:05:00,2024-02-13T06:16:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
229,SK,3155,SAS,2024-02-13T06:05:00,2024-02-13T06:16:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
230,LY,5129,EL AL ISRAEL AIRLINES,2024-02-13T06:00:00,2024-02-13T06:18:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,78-99,D,DEPARTED,המריאה
235,AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-02-13T06:10:00,2024-02-13T06:24:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
